Angle, TimePerStep, Intensity
13.638878841, 10.160, 50.0
13.647234476, 10.160, 55.0
13.655590110, 10.160, 66.0
13.663945745, 10.160, 66.0
13.672301380, 10.160, 45.0
13.680657014, 10.160, 56.0
13.689012649, 10.160, 68.0
13.697368283, 10.160, 60.0
13.705723918, 10.160, 61.0
13.714079552, 10.160, 54.0
13.722435187, 10.160, 57.0
13.730790821, 10.160, 57.0
13.739146456, 10.160, 63.0
13.747502090, 10.160, 48.0
13.755857725, 10.160, 51.0
13.764213359, 10.160, 54.0
13.772568994, 10.160, 44.0
13.780924628, 10.160, 59.0
13.789280263, 10.160, 60.0
13.797635898, 10.160, 53.0
13.805991532, 10.160, 60.0
13.814347167, 10.160, 65.0
13.822702801, 10.160, 47.0
13.831058436, 10.160, 61.0
13.839414070, 10.160, 55.0
13.847769705, 10.160, 61.0
13.856125339, 10.160, 53.0
13.864480974, 10.160, 80.0
13.872836608, 10.160, 69.0
13.881192243, 10.160, 78.0
13.889547877, 10.160, 46.0
13.897903512, 10.160, 47.0
13.906259146, 10.160, 56.0
13.914614781, 10.160, 48.0
13.922970416, 10.160, 67.0
13.931326050, 10.160, 60.0
13.939681685, 10.160, 48.0
13.948037319, 10.160, 64.0
13.956392954, 10.160, 49.0
13.964748588, 10.160, 60.0
13.973104223, 10.160, 63.0
13.981459857, 10.160, 57.0
13.989815492, 10.160, 49.0
13.998171126, 10.160, 74.0
14.006526761, 10.160, 64.0
14.014882395, 10.160, 51.0
14.023238030, 10.160, 57.0
14.031593664, 10.160, 59.0
14.039949299, 10.160, 48.0
14.048304934, 10.160, 54.0
14.056660568, 10.160, 58.0
14.065016203, 10.160, 50.0
14.073371837, 10.160, 54.0
14.081727472, 10.160, 42.0
14.090083106, 10.160, 71.0
14.098438741, 10.160, 60.0
14.106794375, 10.160, 65.0
14.115150010, 10.160, 58.0
14.123505644, 10.160, 65.0
14.131861279, 10.160, 65.0
14.140216913, 10.160, 55.0
14.148572548, 10.160, 64.0
14.156928182, 10.160, 67.0
14.165283817, 10.160, 53.0
14.173639451, 10.160, 71.0
14.181995086, 10.160, 58.0
14.190350721, 10.160, 57.0
14.198706355, 10.160, 55.0
14.207061990, 10.160, 65.0
14.215417624, 10.160, 47.0
14.223773259, 10.160, 49.0
14.232128893, 10.160, 47.0
14.240484528, 10.160, 44.0
14.248840162, 10.160, 58.0
14.257195797, 10.160, 65.0
14.265551431, 10.160, 49.0
14.273907066, 10.160, 50.0
14.282262700, 10.160, 58.0
14.290618335, 10.160, 50.0
14.298973969, 10.160, 44.0
14.307329604, 10.160, 56.0
14.315685239, 10.160, 63.0
14.324040873, 10.160, 44.0
14.332396508, 10.160, 63.0
14.340752142, 10.160, 55.0
14.349107777, 10.160, 70.0
14.357463411, 10.160, 49.0
14.365819046, 10.160, 68.0
14.374174680, 10.160, 51.0
14.382530315, 10.160, 63.0
14.390885949, 10.160, 54.0
14.399241584, 10.160, 65.0
14.407597218, 10.160, 55.0
14.415952853, 10.160, 70.0
14.424308487, 10.160, 48.0
14.432664122, 10.160, 59.0
14.441019757, 10.160, 58.0
14.449375391, 10.160, 56.0
14.457731026, 10.160, 61.0
14.466086660, 10.160, 49.0
14.474442295, 10.160, 57.0
14.482797929, 10.160, 64.0
14.491153564, 10.160, 51.0
14.499509198, 10.160, 68.0
14.507864833, 10.160, 70.0
14.516220467, 10.160, 61.0
14.524576102, 10.160, 64.0
14.532931736, 10.160, 43.0
14.541287371, 10.160, 51.0
14.549643005, 10.160, 40.0
14.557998640, 10.160, 57.0
14.566354274, 10.160, 42.0
14.574709909, 10.160, 55.0
14.583065544, 10.160, 57.0
14.591421178, 10.160, 58.0
14.599776813, 10.160, 42.0
14.608132447, 10.160, 48.0
14.616488082, 10.160, 49.0
14.624843716, 10.160, 58.0
14.633199351, 10.160, 54.0
14.641554985, 10.160, 59.0
14.649910620, 10.160, 54.0
14.658266254, 10.160, 50.0
14.666621889, 10.160, 54.0
14.674977523, 10.160, 51.0
14.683333158, 10.160, 65.0
14.691688792, 10.160, 57.0
14.700044427, 10.160, 65.0
14.708400062, 10.160, 64.0
14.716755696, 10.160, 51.0
14.725111331, 10.160, 67.0
14.733466965, 10.160, 55.0
14.741822600, 10.160, 55.0
14.750178234, 10.160, 69.0
14.758533869, 10.160, 60.0
14.766889503, 10.160, 49.0
14.775245138, 10.160, 59.0
14.783600772, 10.160, 46.0
14.791956407, 10.160, 65.0
14.800312041, 10.160, 64.0
14.808667676, 10.160, 51.0
14.817023310, 10.160, 55.0
14.825378945, 10.160, 61.0
14.833734580, 10.160, 61.0
14.842090214, 10.160, 46.0
14.850445849, 10.160, 70.0
14.858801483, 10.160, 50.0
